OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0976770956580056,0.1524097148034673,-224.37339810338673*(x-0.09767709565800563)*(x-0.09767709565800563)*(x-0.09767709565800563)+9.420649616332748*(x-0.09767709565800563)*(x-0.09767709565800563)+1.8468797632493459*(x-0.09767709565800563)+1.045381408744952
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.1524097148034673,0.2621531676340816,39.892684059397794*(x-0.15240971480346735)*(x-0.15240971480346735)*(x-0.15240971480346735)-7.362706354558408*(x-0.15240971480346735)*(x-0.15240971480346735)+0.8616744473121718*(x-0.15240971480346735)+1.1378987061377417
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.2621531676340816,0.5175701086243896,-0.2520815299618698*(x-0.2621531676340816)*(x-0.2621531676340816)*(x-0.2621531676340816)+1.6718389596054575*(x-0.2621531676340816)*(x-0.2621531676340816)+0.687014445983313*(x-0.2621531676340816)+1.1965146788116108
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.5175701086243896,1.1,1.4768565307664503
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,-15.0,0.0,0.9020949090469415
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.0,0.01,0.9020949090469415
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.01,0.03,-14931.89184084725*(x-0.01)*(x-0.01)*(x-0.01)-26.159449692466655*(x-0.01)*(x-0.01)+20.05685539450385*(x-0.01)+0.9020949090469415
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.03,0.05,2484.791819395073*(x-0.03)*(x-0.03)*(x-0.03)-75.85528608036812*(x-0.03)*(x-0.03)+1.0922071977884884*(x-0.03)+1.1733131023332537
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.05,0.07,-27496.85739970779*(x-0.05)*(x-0.05)*(x-0.05)+798.9120735450376*(x-0.05)*(x-0.05)+1.0397459378478522*(x-0.05)+1.184693466412037
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.07,0.1106427822789511,1858.7681424434409*(x-0.07)*(x-0.07)*(x-0.07)-113.31826338056865*(x-0.07)*(x-0.07)+0.0*(x-0.07)+1.3050783553893466
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.1106427822789511,0.3235783521691459,10.411334781601793*(x-0.1106427822789511)*(x-0.1106427822789511)*(x-0.1106427822789511)-4.3807061487393887e-16*(x-0.1106427822789511)*(x-0.1106427822789511)+0.0*(x-0.1106427822789511)+1.2426839691441256
shape,iterativefit,central,0,0.0,0.8,30.0,40.0,0.3235783521691459,1.1,1.3432036392761217
shape,iterativefit,central,0,0.8,1.6,30.0,40.0,-15.0,0.0,0.9263576136773827
shape,iterativefit,central,0,0.8,1.6,30.0,40.0,0.0,0.01,0.9263576136773827
shape,iterativefit,central,0,0.8,1.6,30.0,40.0,0.01,0.03,-10779.22225629709*(x-0.01)*(x-0.01)*(x-0.01)-23.68446363553447*(x-0.01)*(x-0.01)+13.882445252977892*(x-0.01)+0.9263576136773827
shape,iterativefit,central,0,0.8,1.6,30.0,40.0,0.03,0.0567165831807759,5830.286630185442*(x-0.030000000000000002)*(x-0.030000000000000002)*(x-0.030000000000000002)-233.64800658467303*(x-0.030000000000000002)*(x-0.030000000000000002)+0.0*(x-0.030000000000000002)+1.10829895523235
shape,iterativefit,central,0,0.8,1.6,30.0,40.0,0.0567165831807759,0.0976050938207076,-949.9449855491125*(x-0.056716583180775965)*(x-0.056716583180775965)*(x-0.056716583180775965)+71.83008553507575*(x-0.056716583180775965)*(x-0.056716583180775965)+0.0*(x-0.056716583180775965)+1.0527081896468191
shape,iterativefit,central,0,0.8,1.6,30.0,40.0,0.0976050938207076,0.1651628649806411,-2.3257654387109086*(x-0.09760509382070764)*(x-0.09760509382070764)*(x-0.09760509382070764)-2.6834132564716615*(x-0.09760509382070764)*(x-0.09760509382070764)+1.109496002713565*(x-0.09760509382070764)+1.107860264957952
